nk	sk
그렉씨는 자기의 성격과 마찬가지로 자기의 유언에 대해서도 아무 말도 하지 않았다. 그 녀자는 자기 남편이 자기의 죽음때문에 자기의 슬픔을 더 보태려는 비렬한 계획을 꾸미고있을지도 모른다는 생각이 들었다. 그런 경우에는 자기의 모자에 눈물을 흘리는 장식품도 달지 않을것이며 그가 두번째 남편이라면 그보다 더 울지 않을것이라고 굳게 마음먹었다.	그렉 씨는 그의 성격을 가진 모든 남자들처럼 자신의 유언에 대해 매우 말이 없었고, 그렉 부인은 우울한 순간에 다른 남편들처럼 그가 자신의 죽음으로 인해 자신의 슬픔을 더 키우기 위해 자신을 가난하게 남겨두는 비열한 계획을 품고 있을지도 모른다는 예감을 가졌으며, 그런 경우 그녀는 자신의 모자에 거의 눈물을 흘리는 장식도 달지 않을 것이며, 그가 두 번째 남편이었다면 그보다 더 많이 울지 않을 것이라고 굳게 결심했다.
나는 그에게 말하겠어요.	내가 그에게 말할게.
너희는 발을 따뜻이 하고 사꼬스부츠를 신었구나. 대주교들처럼 솜이불코트를 입었구나. 문지기가 있는 2층집에 사는데서 트러플을 먹었고 1월에 40프랑씩 아스파라거스를 먹었구나.	너희들은 발을 따뜻하게 하고, 사코스키 부츠를 신고, 대주교들처럼 솜이불 코트를 입고, 문지기가 있는 1층 집에 살며, 트러플을 먹고, 1월에 40프랑에 한 다발씩 아스파라거스를 먹고, 완두콩을 먹으며, 배불리 먹고, 날씨가 추운지 알고 싶을 때는 신문을 보고 셰발리에 엔지니어의 온도계가 뭐라고 하는지 확인한다.
이것은 사소한 문제가 아니다.	이것은 사소한 문제가 아니다.
그는 알베르트에게 고개를 끄덕하고 미소를 지은 다음 깊은 사색에 잠겨있었다.	몬테 크리스토는 알베르트에게 고개를 끄덕이며 미소를 지었고, 그 후 깊은 사색에 잠시 빠져 있었다.
의사들은 너무나 자기 주장을 강하게 가지고있기때문이고 또 그들의 정신적욕망을 만족시켜주지 못하기때문이다.	의사들은 너무 자기 주장이 강하고, 그들의 건조하고 물질적인 관점에서 쉽게 움직이지 않기 때문이다.
그의 입에서 튀여나온 말이 나의 주의를 끌지 못했다.	그의 입술에서 다시 발음된 이름이 나를 설명할 수 없이 압도했다.
그런데 당신은 그것을 듣지 못하였는데 어떻게 그것이 다가오고있다고 할수 있겠소?	그런데 당신이 그것을 듣지 못했는데 어떻게 그것이 가까워지고 있다고 말할 수 있습니까?
내가 초인종을 누를 때 오너라.	그리고 내가 벨을 누를 때 오너라.
그 고집스럽고 고집스러운 태도는 실망에 빠지거나 문자 그대로 만족에 빠지는것으로 될는지는 몰라도 그 정신에는 아무런 기쁨도 안겨주지 않을것이요.	그 집착적이고 고집 센 방식은 분명 실망하게 될 것이거나, 아니면 문자 그대로는 만족을 줄지라도 그 정신에서는 아무런 기쁨도 주지 않을 것이다.
마치도 그 녀자가 부딪치고싶지 않으며 또 부딪치고싶지 않은 어떤것이 있는듯한 생각이 들었다. 이 이야기를 시작하자 마틸드는 자기가 사랑하지 않으며 또 그가 무서워하는 또 하나의 이상한 녀성을 찾아냈다. 그 녀성은 마치도 그와 반대되는듯싶었다.	마치 그녀가 직면할 수 없거나 직면하고 싶지 않은 무언가가 있는 듯했고, 이 이야기를 시작하자마자 진정한 안나인 그녀는 어딘가로 물러나고, 그가 사랑하지 않으며 두려워하는 또 다른 이상하고 설명할 수 없는 여인이 나타났고, 그 여인은 그와 대립하는 듯했다.
나는 가끔 깨여나서 무슨 일이 일어나고있는지 통 알수 있었다. 그때마다 나는 목소리만 듣거나 남자들이 코를 골기우는 소리를 들었다. 마치도 어리석은 강의 물소리 같았다.	가끔 나는 완전히 깨어서 무슨 일이 일어나는지 이해했지만, 가끔 나는 목소리만 듣거나 남자들이 코를 골고 있는 소리, 마치 어리석은 강의 소리처럼 들렸다.
그들은 더 많은 물자를 모으는데 성공하였으나 세상의 기쁨은 얼마간 줄었다.	그들은 더 많은 물체를 축적하는 데 성공했지만, 세상의 기쁨은 줄어들었다.
그 녀자는 자기의 도덕을 범죄처럼 후회하였고 자존심의 격렬한 타격으로부터 자신을 구원하려고 애썼다.	그녀는 과거의 미덕을 범죄처럼 후회하였고, 남아 있는 그것은 그녀의 자존심의 격렬한 타격 아래에서 사라져갔다.
잘 왔어, 베씨?	잘 왔네, 털리버.
어쨌든 이것은 그가 바랐던것이다.	어쨌든, 이것이 그가 바랐던 것이었다.
저주받은 마술이 있는것 같았다.	우리에게 저주받은 마법이 있었던 것 같았다.
말해보세요. 하지만 나는 당신을 믿소.	말해 보세요, 하지만 당신을 믿습니다.
하인이 웃층으로 뛰여내려가서 Mr. Grimwig을 불렀다.	그러자 하인이 위층으로 뛰어 올라가 Mr. Grimwig을 알렸다.
그리고나서 우리는 계속 차를 몰아갔다.	그 후 우리는 계속해서 운전했다.
두려워하지 말라. 그저 한낱 어린애로밖에는 되지 않는다.	두려워하지 마라, 그저 한 소년일 뿐이다.
우리는 이 엄숙한 순간에 방해받을 념려가 없어 문을 닫았다.	우리는 이러한 엄숙한 경우에 방해받지 않기 위해 외부 문을 닫았다.
그걸 몸에 걸치고계셔요?	그가 그것들을 착용하나요?
그러나 리드게이트는 미래에 대한 그들의 견해와 그들의 생활을 완전히 바꾸어놓아야 한다는 요구에 대해서 두려움을 느꼈다.	하지만 리드게이트는 지출에 대한 불가피한 미래의 논의와 그들의 생활 방식을 완전히 바꿔야 한다는 필요성에 대해 두려움을 느끼지 않을 수 없었다.
이것을 기억하라. 우리의 모든 정열과 사랑조차도 너무 가득히 채워서는 안된다.	그리고 이것을 기억하라: 우리의 모든 열정, 심지어 사랑조차도 너무 가득 채워서는 안 되는 배가 있다.
내가 너의 눈이 감겨있는것을 보았을 때 나는 좋다고 말하였다.	내가 네 눈이 감겨 있는 것을 보았을 때, 나는 좋다고 말했다.
쥴리앙은 아락치예프를 개인적으로는 몰랐지만 그밖의 어떤 인물에 대해서는 들은적이 없었기때문에 그에 대한 그의 평판은 거의나 비관적인것이였다.	그는 아락치예프를 개인적으로 알지 못했으며, 그를 본 적도 없었고, 그에 대해 들은 모든 이야기는 그에 대한 존경심을 거의 불러일으키지 않았다.
조금은 괴롭겠지만 마음을 단단히 먹어두어라.	조금 힘들겠지만, 마음을 다잡아라.
당신은 저를 믿어주시겠지요?	당신은 저를 믿으시나요, 헤일 양?
젊은 신사의 무한한 령혼이 밭이 되였을 때 그 값은 극히 낮은것이였다.	젊은 신사의 무한한 영혼이 밭이 될 때, 이는 매우 낮은 배수율이었다.
이것이 과연 꿈일수 있다는것을 까스따니꼬프는 다시한번 생각해보았다.	"이것이 여전히 꿈일 수 있을까?
라스콜니코프는 다시 한 번 생각했다."
나는 이 사나이를 통해서 그를 알고있다.	편집자를 통해서 그를 알고 있다.
나는 알수 없었다.	나는 짐작할 수 없어, 실비가 말했다.
나는 너에게 너무 많은것을 요구하는건 아니야.	나는 너에게 너무 많은 것을 원하지 않아.
나는 나자신, 안해 리자, 그네커, 학생들, 일반사람들에 대한 나의 생각은 악하고 사소하며 나자신도 불성실하다. 그런 순간에 나의 인생이 어떠했는가는 유명한 아락체예프가 보낸 친절한 편지에서 말한대로 표현할수 있다.	나는 나 자신, 아내, 리자, 그네커, 학생들, 일반 사람들에 대해 생각한다; 내 생각은 악하고, 사소하며, 나는 나 자신에게 불성실하고, 그런 순간에 내 인생에 대한 이론은 유명한 아락체예프가 그의 친밀한 편지 중 하나에서 말한 말로 표현될 수 있다
나는 그것을 보았다.	나는 그것을 직접 보았다.
무엇이 타고있어?	무엇이 타고 있는 거야?
오늘밤에 메리한테 갈수만 있다면 젬, 내가 메리에게 쓸만한 몇가지만 더 구해두면 메리가 언제 돌아올지 알수 있어.	오늘 밤 우리 집에 잠깐 들를 수 있다면, 젬, 내가 메리에게 유용할 만한 몇 가지를 준비해 놓을 테니, 그러고 나서 네가 언제 돌아올 수 있을지 말해 줄 수 있어.
백톤이다.	약 백 톤이다.
커디는 고개를 들어 왕의 집 꼭대기에 있는 높은 하늘에서 은빛으로 반짝이는 은색구름 한떼를 눈앞에 바라보았다.	커디는 고개를 들어 보았고, 왕의 집 꼭대기 근처의 높은 공중에서 가장 순수한 은처럼 빛나는 큰 빛의 구체를 보았다.
그 피그미는 흙으로 만들어졌으며 무지하고 글을 모르는, 경박하고 저속하고 천박한것이였다.	그 피그미는 보통 흙으로 만들어졌고, 무지하고, 글을 모르는, 경박하고, 저속하며, 천박하다.
그는 돌을 굽고있다!	그는 돌을 굽고 있다!
나는 알고있다.	나는 알고 있다.
잘했어!	잘했어!
정말이지 그 녀자는 몸이 가늘어졌고 마음은 지금 어떤 사실을 체험하고있는지 아니면 또 어떤 무서운 기분에 잠겨있을가 하는 생각에 잠겨있었다.	"아, 정말로!
그녀는 매우 약했고, 그녀의 마음은 현재의 어떤 사실을 찾아서 자신을 안정시키고 또 다른 끔찍하고 병적인 기절 속에서 완전히 의식을 잃지 않도록 하려 했다."
삐에르는 비밀에 싸여있었기때문에 그들이 지금보다 더 행복한것을 상상할수 없었으며 그들이 자유로워지면 무슨 일이 있을지는 하느님만이 아신다고 생각하였기때문에 마지못해 자신이 옳다고 생각하는바를 고집하였던것이다.	피에르는 그의 비밀스러운 마음속에서 경영자와 동의하며 그들이 더 행복한 사람들을 상상하기는 어려울 것이라고 생각했고, 그들이 자유로워질 때 무슨 일이 일어날지는 오직 하나님만이 아신다고 여겼지만, 그는 마지못해라도 자신이 옳다고 생각하는 바를 고집했다.
나는 행복하고 모든 사람을 사랑합니다.	나는 행복하고 모든 사람을 사랑합니다.
그는 여전히 그를 품에 안고 침대의자우에 무릎을 꿇었다.	그는 여전히 그녀를 품에 안고 침대 옆에 무릎을 꿇었다.
그들은 이야기가 이따금 나에게로 쏠리는것을 피하는편이 오히려 낫다고 생각하는것 같았다. 그들은 이 문제를 나에게로 끌어들이는것에만 골몰하는것 같았다.	그들은 대화가 가끔씩 나에게로 향하지 않으면 기회를 잃었다고 생각하는 것 같았고, 그 점을 나에게 찔러넣는 것에 집착하는 듯했다.
하고 의사가 물었다.	의사가 물었다.
당신은 일곱프랑과 여기서 바꿀수 있는 플로린을 가지고계셔요.	당신은 주머니에 일곱 프랑과 여기서 바꿀 수 있는 플로린이 있습니다.
그 녀자는 아르카디야, 이바노비야, 식당시계를 깜박 잊었댔소. 하고 말하였다.	너무 바쁘셨군요, 아르카디 이바노비치, 식당 시계를 감는 것을 잊으셨네요, 그녀가 말했다.
갑자기 프랑스군에서 총성이 울리고 렬을 지어 늘어선 군인들이 연기가 피여오르는것을 보고 총알소리가 났다.	갑자기 프랑스군에서 연이어 총성이 울려 퍼지고, 그들의 고르지 않은 대열을 따라 연기가 피어오르며, 총알 소리가 들렸다.
나탈리?	나탈리?
그렇지 않았더라면 그 애에게 아무것도 주지 않았을거야.	그렇지 않았다면 그 아이에게 주지 않았을 거야!
신의 섭리의 기적속에서.	신의 섭리의 기적 속에서.
그의 어머니와의 놀라운 차이는 특히 로인에게 큰 흥미를 자아냈다.	그의 어머니와의 놀라운 유사성은 특히 노인을 감명 깊게 했다.
창문을 열어놓은채 저녁노을속에 초불을 켜놓지 않고 앉아있노라니 그 녀자는 더위를 참지 못해 숨이 막힐 지경이였다.	그녀는 강 쪽으로 창문을 활짝 열고 저녁놀 속에서 촛불 없이 앉아 있었고, 숨 막히는 더위가 그녀의 고통을 더욱 무겁게 하고 있었다.
처음 보았을 때는 부츠에 얼룩이 간것외에는 아무것도 없는것 같았다.	첫눈에 보기에는 부츠에 얼룩 외에는 아무것도 없는 것처럼 보였다.
그는 규칙적으로 맥박치고있었다.	그는 규칙적이고 깊게 숨을 쉬었다.
내가 갈곳은 너뿐이야.	네가 가는 곳에 나도 갈 거야.
그는 매일같이 나와 이야기하면서 나를 그의 유일한 벗으로 삼았다.	그는 매일 와서 나와 이야기하며 나를 그의 유일한 친구로 삼았다.
우리는 결코 그렇지 않다구 그 녀자가 대답하였다.	우리는 결코 그렇지 않아, 그녀가 대답했다.
그러므로 나는 그 녀자의 옷차림을 그렇게 짐작해야 한다.	그러므로 나는 그녀의 옷차림으로 그렇게 추측해야 할 것이다.
